team,goals,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed
Manchester City,106,665,265,23,12,6,1,93,13,4,28241,118,1775,4546,691,284,35130,63
Manchester United,68,512,178,16,12,1,2,56,13,4,20064,85,2308,2878,753,220,27525,42
Tottenham Hotspur,74,623,216,13,11,2,1,64,11,8,21660,83,2447,3176,825,246,29412,50
Chelsea,62,606,220,11,17,3,2,52,10,1,21264,70,2140,3019,755,230,28728,48
Liverpool,84,638,233,16,12,2,2,75,9,9,22962,106,2370,3313,764,230,30324,61
Arsenal,74,594,234,17,13,4,1,68,7,0,23524,117,1994,3089,572,225,30635,57
Burnley,36,378,128,9,10,0,1,32,4,0,13572,18,3028,2245,707,167,20732,22
Everton,44,359,121,7,8,5,0,36,8,2,14749,25,2726,2212,629,150,22298,36
Leicester City,56,423,149,8,9,5,1,49,7,7,15200,63,2667,2094,744,203,22770,35
Newcastle United,39,451,149,12,7,0,1,34,5,5,14028,67,2610,2018,616,167,21506,33
AFC Bournemouth,45,465,158,10,4,3,1,38,7,0,16131,37,2299,2257,707,218,23634,24
Crystal Palace,45,476,151,8,4,8,1,39,6,3,14372,30,2416,2091,703,210,22434,55
Watford,44,440,132,8,9,3,0,38,6,1,15654,27,2410,2241,713,183,23127,36
West Ham United,48,372,133,14,6,2,1,39,10,4,14369,51,2567,2177,732,161,21928,29
Brighton and Hove Albion,34,384,119,8,7,5,0,30,4,0,14675,32,2774,2204,680,163,21668,30
Huddersfield Town,28,362,109,8,5,2,0,27,1,2,14960,26,2563,2267,765,165,22619,21
Swansea City,28,338,103,8,3,1,0,24,4,0,15721,23,2580,2582,694,150,22775,26
Southampton,37,450,145,15,7,3,1,34,3,2,17174,56,2541,2589,800,227,24639,37
Stoke City,35,384,132,8,8,0,1,28,8,2,12892,33,2528,1979,598,136,20368,33
West Bromwich Albion,31,378,114,7,10,1,1,29,2,2,13218,34,2699,2041,784,176,20552,28